villes,provinces
N'Djaména,N'Djaména
Moundou,Logone Occidental
Abeche,Ouaddai
Sarh,Moyen-Chari
Faya-Largeau,Borkou
Koumra,Mandoul
Kélo,Tandjilé
Mongo,Guéra
Pala,Mayo-Kebbi Ouest
Am Timan,Salamat
Ati,Batha
Bongor,Mayo-Kebbi Est
Doba,Logone Oriental
Mao,Kanem
Oum Hadjer,Batha
Moussoro,Barh el Gazel
Bitkine,Guéra
Biltine,Wadi Fira
Massaguet,Hadjer-Lamis
Dourbali,Chari-Baguirmi
Laï,Tandjilé
Léré,Mayo-Kebbi Ouest
Kyabé,Moyen-Chari
Massakory,Hadjer-Lamis
Bokoro,Hadjer-Lamis
Bousso,Chari-Baguirmi
Benoye,Logone Occidental
Bébédjia,Logone Oriental
Adré,Ouaddaï
Ngama,Hadjer-Lamis
Béré,Tandjilé
Fianga,Mayo-Kebbi Est
Bol,Lac
Moïssala,Mandoul
Guelendeng,Mayo-Kebbi Est
Goundi,Mandoul
Gounou Gaya,Mayo-Kebbi Est
Baïbokoum,Logone Oriental
Aozou,Tibesti
Melfi,Guéra
Massenya,Chari-Baguirmi
